range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-02,2026-08-16,Nature Immunology,,,Aug 2026,2026-08-14,TIF1γ holds the line against regulatory T cell plasticity,"Fotini Gounari, Khashayarsha Khazaie",20.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: T cell, regulatory T cell",10.1038/s41590-026-02620-5,https://doi.org/10.1038/s41590-026-02620-5,,,,,
2026-08-02,2026-08-16,Nature Immunology,,,Aug 2026,2026-08-14,Potent type-specific de novo antibodies complement broadly reactive imprinted antibodies in immune responses to SARS-CoV-2 variants,"Timothy S. Johnston, Shuk Hang Li, ..., Daniel C. Douek",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: immune response,10.1038/s41590-026-02613-4,https://doi.org/10.1038/s41590-026-02613-4,"Abstract For rapidly mutating viruses such as influenza viruses and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), immune memory recalled by antigenically drifted variants primarily comprises antibodies that cross-react to the priming strain rather than de novo elicited responses, a phenomenon termed original antigenic sin or immune imprinting. The composition and functionality of de novo responses elicited by variant exposures remain unclear. Here we isolated and characterized hundreds of recall and de novo neutralizing monoclonal antibodies after sequential exposures to SARS-CoV-2 variants in ancestral-imprinted humans. De novo variant type-specific antibodies used different V(D)J genes that were closer to germline sequence, potently neutralized future variants and targeted distinct receptor binding domain epitopes compared to ancestral cross-reactive (recall) antibodies. Nevertheless, neutralizing responses to the updated 2024–2025 booster were predominantly ancestral cross-reactive. These results reveal the distinct contributions of recall and de novo antibodies to a balanced immune response and underscore the benefit of updated booster vaccines, which augment both subsets.",,,,
2026-08-02,2026-08-16,Nature Communications,,,Aug 2026,2026-08-15,DUSP4 promotes anti-tumor CD8+ T cell function and boosts CAR-T cell efficacy in mouse colorectal cancer,"Heng Li, Clara K. T. Koh, ..., Yongliang Zhang",20.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76779-8,https://doi.org/10.1038/s41467-026-76779-8,,,,,
2026-08-02,2026-08-16,Nature Communications,,,Aug 2026,2026-08-15,Macrophage trained immunity requires a mitochondrial glutamine-restriction checkpoint for antitumor protection in mice,"Ya Chun Yu, Yulseung Sung, ..., Jung Min Han",9.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: macrophage,10.1038/s41467-026-76757-0,https://doi.org/10.1038/s41467-026-76757-0,,,,,
2026-08-02,2026-08-16,Nature Communications,,,Aug 2026,2026-08-14,Tubular ACSM3 controls fatty acid metabolism and safeguards against acute kidney injury in male mice,"Fengping Zhang, Li Feng, ..., Ping Fu",12.0,Worth scanning,2,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,lipid_metabolism,lipid_metabolism: fatty acid metabolism,10.1038/s41467-026-76637-7,https://doi.org/10.1038/s41467-026-76637-7,,,,,
2026-08-02,2026-08-16,Nature Communications,,,Aug 2026,2026-08-14,Evolutionary conservation analysis reveals a primordial function of STING as a regulator of lipid metabolism via FADS2,"Soumyabrata Guha, Joanna Re, ..., Nadine Laguette",12.0,Worth scanning,2,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,lipid_metabolism,lipid_metabolism: lipid metabolism,10.1038/s41467-026-76833-5,https://doi.org/10.1038/s41467-026-76833-5,"Abstract The stimulator of interferon genes (STING) is a pivotal regulator of type I interferon (IFN) responses. Although the IFN system is confined to vertebrates, STING is present across metazoans and in some unicellular eukaryotes, suggesting involvement in distinct functions prior to vertebrate divergence. Here we explore the conservation of STING-mediated regulation of polyunsaturated fatty acid (PUFA) metabolism. We find that STING homologs from vertebrates, invertebrates, and unicellular eukaryotes interact with fatty acid desaturase 2 (FADS2), the rate-limiting enzyme in PUFA metabolism, and influence subsequent functional outputs. Specifically, we show that STING homologs differentially shape cell susceptibility to infection by DNA and RNA viruses independently of the activation of IFN responses, suggesting that STING-mediated metabolic pathway regulation may participate in primitive host defense mechanisms. Thus, we identify STING-mediated metabolic regulation as an evolutionarily conserved feature and a primordial function of STING.",,,,
2026-08-02,2026-08-16,Nature Communications,,,Aug 2026,2026-08-08,Macrophages tune NK cell IFNγ production through direct lipid transfer,"Cathal Keane, Shauna Mayock, ..., David K. Finlay",5.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: macrophage,10.1038/s41467-026-76444-0,https://doi.org/10.1038/s41467-026-76444-0,"Abstract Natural killer (NK) cells are critical effectors of innate immunity, but their activity is strongly influenced by metabolic state. While intrinsic NK metabolism has been studied extensively, less is known about how surrounding immune cells shape NK cell function. Here, we identify a direct metabolic communication axis between macrophages and NK cells. Using co-culture and in vivo models, we show that lipopolysaccharide-stimulated macrophages induce lipid accumulation in NK cells that suppresses mTORC1 activity and the production of IFNγ. This lipid accumulation is visualised as increased lipid droplets content in NK cells, generated using fatty acids synthesised within the macrophages. Genetic and pharmacological approaches show that fatty acid transfer from macrophages to NK cells requires cell-cell contact and is associated with CD36 protein transfer via trogocytosis. Blocking fatty acid synthesis specifically in macrophages prevents lipid accumulation in NK cells and restores both mTORC1 activity and IFNγ production. These findings define a previously unrecognized mechanism of macrophage-NK cell cross-regulation, revealing how metabolic exchange constrains NK effector function and establishing a feedback circuit with implications for hyperinflammation and immunotherapy.",,,,
2026-08-02,2026-08-16,Nature Aging,,,Aug 2026,2026-08-14,Physical activity delays ovarian aging in part through adiponectin-related signaling pathways,"Biao Li, Nana Zheng, ..., Jihui Zhang",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01177-0,https://doi.org/10.1038/s43587-026-01177-0,,,,,
2026-08-02,2026-08-16,Nature Aging,,,Aug 2026,2026-08-14,Exercise slows ovarian aging,,10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01176-1,https://doi.org/10.1038/s43587-026-01176-1,,,,,
2026-08-02,2026-08-16,Nature Aging,,,Aug 2026,2026-08-13,A National Institute on Aging workshop on sex differences in health across the lifespan,"Jeffrey Pea, Siobhan Addie, ..., Francesca E. Duncan",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01194-z,https://doi.org/10.1038/s43587-026-01194-z,,,,,
2026-08-02,2026-08-16,Science,393,6812,"Volume 393, Issue 6812, Aug 2026",2026-08-13,Chemovaccination with a late-liver-stage antimalarial induces durable immunity against malaria,"Ryan W. J. Steel, Yu Cheng Chua, ..., Justin A. Boddey",27.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,liver_axis; inflammation_immunity,liver_axis: liver | inflammation_immunity: T cell,10.1126/science.aea7605,https://doi.org/10.1126/science.aea7605,"Plasmodium falciparum sporozoite vaccines, in which parasites are attenuated at the liver stage, provide high efficacy but require complex manufacture and intravenous administration of high sporozoite doses. We found that a single low-dose P. berghei sporozoite exposure (intravenous or mosquito bite) and treatment with a plasmepsin IX and X (PMIX/X) inhibitor, either WM382 or MK-7602, that produced “chemo-attenuated liver merozoites” (CALM) induced sterile immunity in mice for up to 21 months. Protection involved anti–circumsporozoite protein (CSP) antibodies and CD8 + T cells, including liver-resident memory subsets that recognized diverse antigens (SERA1, RPL6, GAP50, RNT, PHIST, S20, and RBP). WM382 also attenuated P. falciparum liver merozoites, and conservation of PMIX/X active sites supports pan- Plasmodium potential for preventing malaria. CALM vaccination merits clinical evaluation, including by natural mosquito exposure if long-acting injectable PMIX/X inhibitor formulations prove feasible.",,,,
