range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-17,2026-08-31,Nature,,,Aug 2026,2026-08-26,Insights into longevity and virus-driven adaptation from Myotis bat genomes,"Juan M. Vazquez, M. Elise Lauterbur, ..., Peter H. Sudmant",14.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: BAT,10.1038/s41586-026-10932-7,https://doi.org/10.1038/s41586-026-10932-7,"Abstract The genus Myotis is one of the largest clades of bats, and it exhibits some of the most extreme variation in lifespans among mammals, alongside unique adaptations to viral tolerance and immune defence 1–3 . Here, to study the evolution of these phenotypes, we generated cell lines and near-complete genome assemblies for eight closely related Myotis species. Using genome-wide screens of positive selection, analyses of structural variation and functional experiments in primary cells, we identify patterns of adaptation contributing to longevity, cancer resistance and viral interactions. We demonstrate distinct modes of adaptation to DNA and RNA viruses compared with all other mammals, with bats exhibiting genome-wide over-representation of positive selection for DNA-virus-interacting proteins and elevated rates of copy-number variation for RNA-virus-interacting proteins. Characterization of Myotis -specific duplications of the key immune factor EIF2AK2 (also known as PKR ) reveals multiple ancient segregating trans-species copy-number polymorphisms. We show that the recurrent evolution of longevity seen in Myotis is associated with positive selection in cancer pathways, and demonstrate a unique response to DNA damage in primary cells of the long-lived Myotis lucifugus . Together, our results suggest that bats’ remarkable longevity and immunity are linked through pleiotropic adaptations to viruses and ageing-related disease.",,,,
2026-08-17,2026-08-31,Nature,,,Aug 2026,2026-08-26,Ultrafast and reference-free sequence discovery in single-cell data,"Daniel León-Periñán, Nikos Karaiskos, Nikolaus Rajewsky",7.0,Archive only,1,Single-cell / spatial / atlas,omics_and_atlas,omics_and_atlas: spatial transcriptomics,10.1038/s41586-026-10975-w,https://doi.org/10.1038/s41586-026-10975-w,"Abstract Knowledge of RNA sequences, expression, splicing, isoforms, structure and modifications is central for understanding and targeting cellular processes. Revolutionary single-cell and spatial transcriptomics technologies—for example, as deployed by consortia such as the Human Cell Atlas—partially capture this diversity and generate cellular profiles that expand at petabyte scale each year 1–5 . Yet researchers cannot search sequences across these datasets: standard pipelines do not scale or rely on references, retaining only gene or isoform counts, whereas accessing raw sequences requires collecting, downloading and processing millions of large files. Here we present Malva, a computational platform that enables ultrafast, species-agnostic and reference-free interrogation of the raw sequence space, enabling searching for any sequence, mutation, splice junction or pathogen, or spatial location of arbitrary transcripts. The continuously expanding Malva Index currently comprises around 74 million cells from thousands of experiments in health and disease. Malva enables reference-free discovery—researchers can, for example, identify cell types and predict cell–cell similarity directly from sequence composition. Building on Malva’s speed and accuracy, we demonstrate how Malva can be flexibly connected to state-of-the-art neural networks and how to execute complex searches and enable automated analyses. Malva transforms single-cell atlases from static gene count tables into dynamic, sequence-resolved resources that may help to bridge human–machine reasoning about biology.",,,,
2026-08-17,2026-08-31,Nature Immunology,27,9,"Volume 27, Issue 9, Aug 2026",2026-08-25,Aging by impaired efferocytosis,Stephanie Houston,10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41590-026-02647-8,https://doi.org/10.1038/s41590-026-02647-8,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-31,Single-cell profiling identifies obesity-disrupted brain glucose sensing,"Jenny M. Brown, Marie A. Bentsen, ..., Tune H. Pers",22.0,Must read,3,Liver metabolism / MASLD; Single-cell / spatial / atlas,core_disease_context; omics_and_atlas,core_disease_context: obesity | omics_and_atlas: single-nucleus RNA sequencing,10.1038/s41467-026-77116-9,https://doi.org/10.1038/s41467-026-77116-9,"Abstract Neuronal nutrient sensing in the hypothalamus and brainstem is thought to regulate energy and glucose homeostasis, yet how these brain regions respond to elevated adiposity or blood glucose remains unclear. We performed single-nucleus RNA-sequencing on 75,787 cells from the arcuate nucleus, ventromedial hypothalamus, and dorsal vagal complex of control diet- and high-fat diet (HFD)-fed male mice following intravenous glucose or saline infusion. HFD broadly altered gene expression across cell types, including Th/Slc6a3, Agrp, Ghrh, and Trh/Cxcl12 neurons. In control diet-fed mice, hyperglycemia triggered transcriptional responses conserved across brain regions in astrocytes and oligodendrocytes, and a response in Ghrh neurons, consistent with reduced neuronal activity. The transcriptional responses to hyperglycemia were largely absent or reversed after HFD. Genes enriched in both mouse and human GHRH neurons were located in loci genetically linked to human glycemic traits. These findings point to the brain’s intrinsic capacity to sense hyperglycemia and suggest that this detection system is profoundly impaired in obesity.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-29,Single-cell landscape of human liver sinusoidal γδ T cells in the context of latent human cytomegalovirus infection,"Dong-Uk Kim, Bae-Hyeon Moon, ..., Eui-Cheol Shin",22.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,liver_axis; inflammation_immunity,liver_axis: liver | inflammation_immunity: T cell,10.1038/s41467-026-77255-z,https://doi.org/10.1038/s41467-026-77255-z,,,,,
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-29,"Associations between diet quality, epigenetic aging and epigenome in two population-based cohorts","Juliana F. Tavares, Dan Liu, ..., Monique M. B. Breteler",16.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-77064-4,https://doi.org/10.1038/s41467-026-77064-4,"Abstract Several dietary patterns have been associated with better health outcomes. However, the extent to which adherence to different so-called healthy diets overlaps, whether these dietary patterns are equally beneficial, and whether they are associated with similar DNA methylation profiles, remains unclear. Therefore, we investigate the overlap in adherence to ten diet quality scores, and examine the associations of these scores with both biological aging markers and DNA methylation profiles. We use data from the Rhineland Study, a large population-based cohort, and validated our findings using corresponding data from the EPIC-Potsdam cohort. Here, we show minimal overlap of participants classified in the highest quartile (top 25%) of adherence across different diet quality scores. Adherence to a healthy dietary pattern is associated with reduced epigenetic aging, although associations differed in magnitude across diet quality scores. Different dietary patterns are associated with distinct methylation profiles, which however largely converged onto the same biological pathways. Our findings suggest that general adherence to a healthy dietary pattern could promote health through similar epigenetic mechanisms, despite variations in dietary composition.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-29,Distinct multi-omics signatures of clinical subgroups of type 2 diabetes define heterogeneous responses to an insulin sensitizer,"Zehui Cao, Ruolan Zhang, ..., Yuanting Zheng",14.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s41467-026-77187-8,https://doi.org/10.1038/s41467-026-77187-8,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-29,Injury-transduced oligodendrocytes modulate neuroinflammation and glial activation in diseased and non-diseased central nervous system,"Yan Wang, Meina Zhu, ..., Fuzheng Guo",11.0,Worth scanning,2,Inflammation / immune regulation; Aging / senescence,inflammation_immunity; aging_senescence,inflammation_immunity: inflammation | aging_senescence: aging,10.1038/s41467-026-76159-2,https://doi.org/10.1038/s41467-026-76159-2,"Abstract Oligodendrocytes (OLs) are brain cells that make myelin, the insulating sheath that supports nerve signal transmission. Although oligodendrocyte dysfunction is common in the central nervous system (CNS), how these cells respond to injury remains incompletely understood. Here we show, using mouse models and mouse tissue analyses, that OLs respond to demyelinating diseases by increasing the expression and secretion of serine protease inhibitor clade A member 3N (SERPINA3N). This transition of homeostatic OLs to Serpina3n-expressing OLs (SerpinOLs) occurs not only in demyelinating disease, but also after stroke, endotoxin-induced injury, neurodegeneration, traumatic injury, and healthy aging. Mechanistically, direct injury to OLs, rather than inflammation alone, drives the transition. Phenotypically, SerpinOLs show inflammatory and immune-regulatory features and activation of signal transducer and activator of transcription 3 (STAT3), which is required for SERPINA3N induction. Functionally, SerpinOLs amplify neuroinflammation and glial activation toward pro-inflammatory and neurodegenerative states. Together, SerpinOLs represent a common population of injury-transduced OLs that contributes to CNS pathology beyond myelin production.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-29,Sustained algal-bacterial interactions promote accumulation of recalcitrant particulate carbon with accelerated radiocarbon aging signatures,"Hanshuang Zhao, Zenghu Zhang, ..., Yongyu Zhang",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-77300-x,https://doi.org/10.1038/s41467-026-77300-x,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-29,Deviations from genetic additivity driven by rare variants at biobank scale,"Frederik H. Lassen, Samvida S. Venkatesh, ..., Duncan S. Palmer",6.0,Archive only,1,Cell targeting / therapy,therapy_translation,therapy_translation: therapeutic target,10.1038/s41467-026-76151-w,https://doi.org/10.1038/s41467-026-76151-w,"Abstract Additive genetic models are the default for genome-wide association studies, but deviations from additivity are crucial for understanding disease mechanisms and therapeutic responses. Yet existing methods for testing nonadditivity are computationally infeasible for large-scale analysis or rely on Hardy-Weinberg assumptions, making them unsuitable for rare variants in large biobanks. We use an orthogonal allelic recoding framework that enables scalable testing of nonadditive genetic effects without Hardy-Weinberg assumptions while integrating seamlessly with existing linear mixed models. Analyzing up to 399,943 UK Biobank individuals across 2906 plasma proteins and 55 quantitative traits, we demonstrate that approximately one-third of cognate gene-protein relationships exhibit nonlinear dose responses. We identify recessive effects, including FUT10 variants associated with reduced lung function, and validate these findings in the All of Us cohort. We show that many complex traits show partial recessivity, reconciling conflicting inheritance patterns in the literature, and that joint two-degree-of-freedom models substantially improve statistical power when the underlying trait is partially recessive. Our framework efficiently partitions additive and nonadditive heritability components at biobank scale, providing a quantitative map of gene dose-response relationships with direct implications for therapeutic target identification and precision medicine.",,,,
